"env","soc","silt","sand","phh2o","nit","clay","bdod","alt","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","n","N","RTA","VPD","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE"
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,5,339,2014-12-05,26.8,30.88,22.95,18.55,1.1,82.44,23.38,415.9,21.8,1,6.85919546906408,12.926066350157,41.0818218702654,0.756785854058284,0.208410882673811,10.0648752630894,8.48512473691058,18.475,0.652241379310345,7.93
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,6,340,2014-12-06,26.33,30.33,22.49,1.4,1.76,84.56,23.39,421.75,20.65,2,6.49745265660427,12.930784221253,41.0962123590795,0.647571116595316,0.203087410789184,9.50853020272131,-8.1085302027213,18.245,0.634827586206896,7.84
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,7,341,2014-12-07,26.03,29.48,23.19,0.8,2.32,85.81,23.37,411.27,23.3,3,7.33134059176008,12.9352005908652,41.1098311413742,0.607065444345392,0.202306641373428,10.7244363168682,-9.92443631686825,18.335,0.632241379310345,6.29
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,8,342,2014-12-08,24.95,28.38,22.72,2.26,2.84,86.31,22.4,411.93,22.75,4,7.15831880480705,12.9393128177195,41.1226957935208,0.604189129813013,0.194285022973557,10.4262305330922,-8.16623053309225,17.55,0.605172413793103,5.66
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,9,343,2014-12-09,24.88,27.48,23.05,3.48,2.34,89.38,22.98,417.84,19.24,5,6.05388773415948,12.9431184262353,41.1348226885053,0.436407898515847,0.191439783727695,8.80341441200613,-5.32341441200613,17.265,0.595344827586207,4.43
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,10,344,2014-12-10,25.66,29.16,22.49,3.14,2.27,86.62,23.18,422.16,22,6,6.92227583097383,12.9466151114219,41.1462269643785,0.5432109455881,0.19706410032446,10.0979614393615,-6.95796143936153,17.825,0.614655172413793,6.67
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,11,345,2014-12-11,25.13,27.45,23.3,2.71,1.64,88.31,23.02,424.18,17.28,7,5.43705756606672,12.9498007434794,41.1569224949748,0.447835609720732,0.192533759115296,7.91154341536952,-5.20154341536952,17.375,0.599137931034483,4.15
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,12,346,2014-12-12,24.78,27.64,22.53,6.65,2.09,88.44,22.69,419.75,8.77,8,2.75937428237701,12.9526733720867,41.1669218629329,0.458782235920738,0.189660935682987,4.00864920148045,2.64135079851955,17.085,0.589137931034483,5.11
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,13,347,2014-12-13,24.58,26.94,22.8,6.35,1.35,91.94,23.17,420.36,19.85,9,6.24538235670959,12.9552312303575,41.1762363350452,0.325754482295553,0.187554467296402,9.0618849700041,-2.7118849700041,16.87,0.581724137931035,4.14
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,14,348,2014-12-14,26.42,30.57,22.73,1.67,1.05,85.56,23.65,419.9,22.76,10,7.16068880899587,12.9574727384493,41.1848758399629,0.652004161065379,0.205602931627113,10.4934946707956,-8.82349467079556,18.365,0.643103448275862,7.84
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,15,349,2014-12-15,26.33,29.73,23.34,2.39,1.37,86.75,23.87,422.63,23.05,11,7.25160063235887,12.9593965068112,41.1928489482784,0.562032684197909,0.204394326866383,10.6207208206583,-8.23072082065828,18.535,0.639137931034483,6.39
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,16,350,2014-12-16,26.56,30.28,23.05,2.4,2.02,85.56,23.82,422.62,21.66,12,6.8139363912685,12.961001339055,41.2001628550085,0.612965229285622,0.20576101801559,9.98713135600559,-7.58713135600559,18.525,0.643620689655172,7.23
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,17,351,2014-12-17,26.53,30.29,23.4,5.31,1.46,85.25,23.74,422.91,13.63,13,4.28754140576724,12.9622862344391,41.206823364494,0.658454377207514,0.207666043976244,6.29055622251119,-0.980556222511193,18.7,0.649827586206897,6.89
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,18,352,2014-12-18,25.73,28.31,23.3,12.29,0.98,88.31,23.62,421.11,12.35,14,3.88461853669859,12.9632503899553,41.212834877735,0.438211982370716,0.196860863593523,5.66800137906448,6.62199862093552,17.805,0.613965517241379,5.01
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,19,353,2014-12-19,24.87,27.13,22.68,4.55,1.84,89.25,22.95,425.44,21.31,15,6.70239267055094,12.9638932020073,41.2182003821729,0.37310574686516,0.187896031300016,9.73038200879296,-5.18038200879296,16.905,0.582931034482759,4.45
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,20,354,2014-12-20,26.42,30.82,22.47,0.43,2.8,84.12,23.34,423.84,23.44,16,7.37165566607531,12.964214267677,41.2229214439333,0.715935402333317,0.205550258874154,10.8067229082438,-10.3767229082438,18.235,0.642931034482759,8.35
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,21,355,2014-12-21,26.84,30.98,23.12,1.86,3.23,84.62,23.92,427.71,20.25,17,6.36780101641343,12.9642133855702,41.2269982025379,0.689044536644669,0.209853703170995,9.3558085389845,-7.4958085389845,18.56,0.656896551724138,7.86
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,22,356,2014-12-22,25.54,27.74,23.75,5.76,1.71,89.88,23.73,422.68,12.9,18,4.05608650549041,12.9638905562403,41.2304293680936,0.395344840943904,0.196252211777728,5.91845397338472,-0.158453973384716,17.745,0.611896551724138,3.99
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,23,357,2014-12-23,24.58,28.84,21.29,6.36,2.3,88,22.37,415.06,10.7,19,3.3639564937627,12.9632459821873,41.2332122209631,0.54605500636859,0.189464148211126,4.89026316321253,1.46973683678747,17.065,0.588448275862069,7.55
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,24,358,2014-12-24,25.87,30.48,21.31,2.02,1.23,84.62,22.91,421.2,16.71,20,5.25276828556431,12.9622800674317,41.2353426139211,0.653822805349066,0.19777682039356,7.67282333068474,-5.65282333068474,17.655,0.617068965517241,9.17
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,25,359,2014-12-25,26.69,30.67,23.21,4.83,2.25,84.25,23.66,424.57,15.92,21,5.00375732969258,12.9609934166659,41.2368149767962,0.703512149068537,0.208677440402229,7.35108600391989,-2.52108600391989,18.605,0.653103448275862,7.46
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,26,360,2014-12-26,26.37,29.86,23.38,7.55,1.32,84.94,23.51,418.26,23.02,22,7.23429402833594,12.9593868339868,41.2376223235979,0.644589414987831,0.20528706534628,10.6116833380757,-3.0616833380757,18.62,0.642068965517241,6.48
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,27,361,2014-12-27,27.13,32.05,22.46,0,1.77,80.88,23.36,409.11,28.07,23,8.81997402997761,12.9574613212139,41.2377562621233,0.872376390416681,0.212060709369524,12.9824516941802,-12.9824516941802,18.23,0.663965517241379,9.59
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,28,362,2014-12-28,27.64,31.77,23.24,0,1.41,80.44,23.8,423.8,23.79,24,7.4739455069824,12.9552180758009,41.237207006041,0.823590882508107,0.214778559885358,11.0169269408667,-11.0169269408667,18.62,0.672586206896552,8.53
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,29,363,2014-12-29,27.68,31.69,24.08,0.57,1.94,80,23.73,419.52,27.14,25,8.52496516339014,12.9526584883497,41.2359633894403,0.89926427943071,0.218965736663334,12.5921639606491,-12.0221639606491,19.04,0.685689655172414,7.61
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,30,364,2014-12-30,27.67,32.28,24.19,0.03,1.92,78.5,23.36,426,25.69,26,8.06809551830512,12.9497841397366,41.2340128838384,1.05309146600476,0.222882822275347,11.9398602715325,-11.9098602715325,19.095,0.697758620689655,8.09
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2014,12,31,365,2014-12-31,27.73,32.45,23.33,0.44,2.35,76.62,22.98,427.66,26.01,27,8.16711194690868,12.9465967978632,41.2313416176303,1.06544051733288,0.219021284968029,12.0681754462382,-11.6281754462382,18.665,0.685862068965517,9.12
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2015,1,1,1,2015-01-01,27.46,32.26,23.42,0.15,2.54,75.94,22.55,423.39,26.05,28,8.17813743543994,12.9430984140453,41.2279343979675,1.1194325252177,0.218466334419205,12.0837434334706,-11.9337434334706,18.71,0.684137931034483,8.84
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2015,1,2,2,2015-01-02,26.77,30.14,22.51,3.44,1.72,75.06,21.74,419.84,27.02,29,8.48101970971658,12.9392911190545,41.2237747350472,0.899899637478231,0.202202729873151,12.4359950517261,-8.99599505172609,18.255,0.631896551724138,7.63
"E01",16,22,56,5.59999990463257,1.29999995231628,21,1.29999995231628,148,-57.68079,-16.19499,2015,1,3,3,2015-01-03,26.99,31.69,22.8,1.17,1.57,75,21.87,428.61,21.75,30,6.82552132174251,12.935177218829,41.2188448687911,1.10078239809503,0.211952599636974,10.0589196661207,-8.88891966612066,18.4,0.663620689655172,8.89
